City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,kailua-kona,19.6406,-155.9956,25.71,74,100,0.45,US,1708815968
116,saldanha,-33.0117,17.9442,16.03,68,81,6.67,ZA,1708815969
117,barranca,-10.75,-77.7667,25.01,77,31,3.58,PE,1708815969
118,badger,64.8,-147.5333,-7.01,75,100,0.59,US,1708815823
119,okhotsk,59.3833,143.3,-24.59,81,2,5.41,RU,1708815970
120,imeni morozova,59.9757,31.0376,4.53,95,100,7.81,RU,1708815970
121,lanivtsi,49.8633,26.0908,8.44,95,100,2.4,UA,1708815970
122,guerrero negro,27.9769,-114.0611,24.42,31,76,4.86,MX,1708815971
123,fethiye,36.6217,29.1164,8.93,65,0,1.88,TR,1708815971
124,uacu cungo,-11.3634,15.1208,18.82,96,100,1.01,AO,1708815972
125,el granada,37.5027,-122.4694,24.4,53,0,3.09,US,1708815972
126,callao,-12.0667,-77.15,27.16,61,0,7.2,PE,1708815972
127,tual,-5.6667,132.75,28.88,73,100,7.81,ID,1708815973
128,mil'kovo,55.6078,37.7956,1.91,87,100,7.11,RU,1708815973
129,hasaki,35.7333,140.8333,5.16,58,100,6.09,JP,1708815973
130,sitka,57.0531,-135.33,3.52,67,100,0.44,US,1708815974
131,college,64.8569,-147.8028,-6.96,40,100,0.46,US,1708815974
132,karratha,-20.7377,116.8463,27.23,72,92,3.87,AU,1708815974
133,porto novo,6.4965,2.6036,28.9,73,92,2.26,BJ,1708815975
134,buka,40.8108,69.1986,1.36,99,100,1.51,UZ,1708815975
135,yuzhno-kurilsk,44.0306,145.8556,-7.01,56,67,3.27,RU,1708815975
136,port blair,11.6667,92.75,24.95,82,10,3.29,IN,1708815976
137,grottammare,42.9888,13.8649,11.01,74,100,2.68,IT,1708815976
138,niquelandia,-14.4739,-48.4597,22.66,90,19,0.99,BR,1708815833
139,farah,32.5,62.5,9.64,24,100,0.46,AF,1708815977
140,sur,22.5667,59.5289,22.91,66,1,5.39,OM,1708815977
141,charcas,23.1333,-101.1167,19.01,35,100,3.15,MX,1708815977
142,anisoc,1.8658,10.7689,22.33,97,97,0.96,GQ,1708815978
143,puerto asis,0.5133,-76.5007,28.19,71,94,1.2,CO,1708815978
144,port lincoln,-34.7333,135.8667,20.65,62,76,1.62,AU,1708815978
145,saint-philippe,-21.3585,55.7679,25.77,88,61,3.09,RE,1708815979
146,mbala,-8.8402,31.3659,16.07,89,100,1.61,ZM,1708815751
147,malango,-2.9627,119.9001,20.45,97,100,0.96,ID,1708815979
148,murakami,38.2333,139.4833,-0.06,64,100,2.12,JP,1708815980
149,el galpon,-25.3807,-64.6526,21.17,86,98,1.1,AR,1708815980
150,opuwo,-18.0607,13.84,22.28,35,100,4.53,NA,1708815980
151,port elizabeth,-33.918,25.5701,19.62,81,0,3.6,ZA,1708815800
152,san pablo villa de mitla,16.9167,-96.4,29.13,31,0,3.99,MX,1708815981
153,tiksi,71.6872,128.8694,-28.94,99,76,4.01,RU,1708815981
154,kodiak,57.79,-152.4072,0.72,62,5,12.99,US,1708815767
155,vallenar,-28.5708,-70.7581,24.84,44,67,2.58,CL,1708815982
156,alliance,40.9153,-81.1059,-2.74,44,0,3.77,US,1708815982
157,dipayal,29.2608,80.94,6.43,33,0,1.87,NP,1708815982
158,laojunmiao,39.8333,97.7333,-9.77,69,100,1.61,CN,1708815983
159,shiqian,27.5225,108.2281,0.22,84,100,0.98,CN,1708815983
160,salalah,17.0151,54.0924,22.19,79,23,0.97,OM,1708815983
161,jamestown,42.097,-79.2353,-4.71,58,0,2.24,US,1708815984
162,semirom,31.4167,51.5667,0.43,100,100,1.76,IR,1708815984
163,tejen,37.3834,60.5054,2.53,97,100,3.55,TM,1708815984
164,rio grande,-32.035,-52.0986,26.06,83,19,8.11,BR,1708815833
165,codrington,-38.2667,141.9667,19.47,47,75,3.2,AU,1708815985
166,sabang,5.8933,95.3214,28.45,71,59,5.89,ID,1708815985
167,dobrush,52.4089,31.3237,8.9,95,100,7.79,BY,1708815986
168,west island,-12.1568,96.8225,28.2,63,100,3.52,CC,1708815986
169,turpan,42.9333,89.1667,1.03,39,100,0.73,CN,1708815986
170,urangan,-25.3,152.9,25.11,96,100,2.68,AU,1708815987
171,vilyuchinsk,52.9306,158.4028,-17.64,70,3,3.58,RU,1708815987
172,broome,42.2506,-75.833,-5.17,65,0,3.6,US,1708815926
173,sertanopolis,-23.0586,-51.0364,32.04,79,47,1.69,BR,1708815987
174,kartaly,53.0522,60.6467,-14.99,93,23,3.13,RU,1708815988
175,hamlet,34.8849,-79.6942,13.12,41,0,2.06,US,1708815988
176,sirte,31.2089,16.5887,18.02,44,67,8.19,LY,1708815988
177,haiku-pauwela,20.9219,-156.3051,22.92,85,100,3.13,US,1708815989
178,puerto ayora,-0.7393,-90.3518,30.98,87,70,6.71,EC,1708815989
179,lincoln,40.8,-96.667,18.97,19,0,6.17,US,1708815883
180,el calafate,-50.3408,-72.2768,14.33,62,27,3.4,AR,1708815990
181,yanchep,-31.55,115.6833,20.68,76,90,5.05,AU,1708815990
182,hermanus,-34.4187,19.2345,16.0,68,96,8.26,ZA,1708815990
183,santo antonio do ica,-3.1022,-67.9397,28.52,70,86,0.72,BR,1708815991
184,byron bay,-28.65,153.6167,23.73,91,100,3.59,AU,1708815991
185,carnarvon,-24.8667,113.6333,26.83,83,89,2.81,AU,1708815991
186,tokar,18.4254,37.729,24.62,81,77,5.16,SD,1708815992
187,petropavlovsk-kamchatsky,53.0452,158.6483,-18.46,82,0,5.36,RU,1708815992
188,rovaniemi,66.5,25.7167,1.67,86,100,4.12,FI,1708815992
189,thenzawl,23.3167,92.75,12.63,64,76,1.33,IN,1708815993
190,tura,25.5198,90.2201,17.71,23,67,1.62,IN,1708815993
191,kapa'a,22.0752,-159.319,26.99,76,75,8.75,US,1708815993
192,isafjordur,66.0755,-23.124,-9.64,80,10,0.86,IS,1708815994
193,tallulah,32.4085,-91.1868,21.03,23,0,4.12,US,1708815994
194,port alfred,-33.5906,26.891,17.88,94,22,1.34,ZA,1708815994
195,miyaly,48.8844,53.7836,-16.59,78,0,3.08,KZ,1708815995
196,funafuti,-8.5243,179.1942,32.0,74,40,0.0,TV,1708815779
197,salaga,8.5508,-0.5188,32.04,41,64,4.24,GH,1708815995
198,altai,46.3722,96.2583,-19.59,64,84,1.52,MN,1708815995
199,krasnovishersk,60.4078,57.082,-6.85,95,100,3.15,RU,1708815996
200,brush,40.2589,-103.6238,17.49,12,0,9.26,US,1708815449
201,dryden,49.7833,-92.7503,3.16,56,40,7.2,CA,1708815996
202,santa fe de antioquia,6.5569,-75.8281,32.98,71,95,1.54,CO,1708815997
203,saipan,15.1355,145.701,25.99,75,71,8.3,MP,1708815997
204,bikenibeu village,1.3673,173.1241,29.98,74,40,2.06,KI,1708815997
205,saint augustine beach,29.8505,-81.2654,20.62,28,0,3.6,US,1708815998
206,kerimaki,61.9167,29.2833,2.97,93,100,6.17,FI,1708815998
207,sanctuary point,-35.1114,150.629,22.08,62,2,1.32,AU,1708815998
208,namibe,-15.1961,12.1522,24.68,81,100,2.23,AO,1708815999
209,iguatemi,-23.6803,-54.5611,23.94,86,68,1.04,BR,1708815999
210,znamenskoye,57.1281,73.8282,-11.47,98,97,1.09,RU,1708816000
